,,Detection Recall,,,,,
change_id,num_cloned_cochange,conqat,deckard,iclones,nicad5,simcad,simian
44419,4,0,1,0,0,0,0
44420,4,0,1,0,0,0,0
44421,4,0,1,0,0,0,0
44422,6,0,1,0,0,0,0
44423,3,0,1,0,0,0,0
44424,3,0,1,0,0,0,0
44430,1,0,0,0,1,1,0
44434,8,0,1,0,0,0,0
44435,8,0,1,0,0,0,0
44436,8,0,1,0,0,0,0
44442,18,0,1,0,0,0,0
44443,18,0,1,0,0,0,0
44444,30,0,0.9,0,0.1,0.03,0
44445,27,0,1,0,0,0,0
44446,1,0,0,0,0,1,0
44448,26,0,0.92,0,0.12,0,0
44449,25,0,1,0,0,0,0
44450,1,0,0,0,0,1,0
44465,7,0,1,0,0,0,0
44466,7,0,1,0,0,0,0
44467,68,0,1,0,0,0,0
44468,2,0,1,0,0,0,0
44469,2,0,1,0,0,0,0
44474,1,0,0,0,0,0,1
44475,25,0,1,0,0,0,0
44476,26,0,1,0,0,0,0
44486,31,0,1,0,0,0,0
44487,31,0,1,0,0,0,0
44488,8,0,1,0,0,0,0
44492,1,0,0,0,0,0,1
44494,2,0,1,0,0,0,0
44497,4,0,1,0,0,0,0
44498,4,0,1,0,0,0,0
44499,4,0,1,0,0,0,0
44500,6,0,1,0,0,0,0
44501,3,0,1,0,0,0,0
44502,3,0,1,0,0,0,0
44508,1,0,0,0,1,1,0
44521,4,0,0.25,0,0.75,0.25,0
44522,1,0,1,0,0,0,0
44523,1,0,0,0,0,1,0
44525,4,0,0.5,0,0.75,0,0
44526,3,0,1,0,0,0,0
44527,1,0,0,0,0,1,0
44529,18,0,1,0,0,0,0
44533,45,0,1,0,0,0,0
44534,98,0,1,0,0,0,0
44537,61,0,1,0,0,0,0
44540,26,0.04,1,0,0,0,0
44541,13,0.08,1,0,0,0,0
44572,14,0,1,0,0,0,0
44575,60,0,1,0,0,0,0
44576,60,0,1,0,0,0,0
44583,5,0,1,0,0,0,0
44584,5,0,1,0,0,0,0
44598,7,0,1,0,0,0,0
44599,7,0,1,0,0,0,0
44600,2,0,0,0.5,0.5,0.5,1
44601,2,0,0,0,0,0,1
44606,14,0,1,0,0,0,0
44610,1,0,0,0,0,1,0
44626,64,0,1,0,0,0,0
44627,64,0,1,0,0,0,0
44628,2,0,0.5,0.5,0,0,0
44629,1,0,1,0,0,0,0
44630,1,0,1,0,0,0,0
44631,1,0,1,0,0,0,0
44632,1,0,0,0,0,1,0
44636,1,0,0,0,0,1,0
44659,8,0,1,0,0,0,0
44660,8,0,1,0,0,0,0
44666,42,0,0.98,0,0,0.02,0
44668,1,0,0,0,0,1,0
44680,30,0,1,0,0,0,0
44687,4,0,1,0,0,0,0
44688,4,0,1,0,0,0,0
44689,4,0,1,0,0,0,0
44690,4,0,1,0,0,0,0
44691,12,0,1,0,0,0,0
44703,21,0,1,0,0,0,0
44704,19,0,1,0,0,0,0
44705,19,0,1,0,0,0,0
44706,13,0,1,0,0,0,0
44707,13,0,1,0,0,0,0
44711,26,0,0.96,0,0,0.04,0
44712,25,0,1,0,0,0,0
44719,1,0,0,0,0,1,0
44723,7,0,1,0,0,0,0
44724,7,0,1,0,0,0,0
44725,7,0,1,0,0,0,0
44726,7,0,1,0,0,0,0
44727,7,0,1,0,0,0,0
44728,7,0,1,0,0,0,0
44729,7,0,1,0,0,0,0
44743,12,0,1,0,0,0,0
44744,12,0,1,0,0,0,0
44745,57,0,1,0,0,0,0
44749,118,0,1,0,0,0,0
44750,118,0,1,0,0,0,0
44753,53,0,1,0,0,0,0
44754,53,0,1,0,0,0,0
44755,44,0,1,0,0,0,0
44756,44,0,1,0,0,0,0
44761,35,0,1,0,0,0,0
44775,18,0,1,0,0,0,0
44776,18,0,1,0,0,0,0
44777,18,0,1,0,0,0,0
44778,18,0,1,0,0,0,0
44779,31,0,1,0,0,0,0
44780,31,0,1,0,0,0,0
44790,1,0,1,0,0,0,0
44793,56,0,1,0,0,0,0
44801,86,0,1,0,0,0,0
44802,18,0,1,0,0,0,0
44803,18,0,1,0,0,0,0
44804,15,0,1,0,0,0,0
44805,16,0,1,0,0,0,0
44806,15,0,1,0,0,0,0
44807,15,0,1,0,0,0,0
44809,40,0,1,0,0,0,0
44810,87,0,1,0,0,0,0
44811,26,0,1,0,0,0,0
44812,26,0,1,0,0,0,0
44813,26,0,1,0,0,0,0
44814,10,0,1,0,0,0,0
44815,10,0,1,0,0,0,0
44816,25,0,1,0,0,0,0
44817,15,0,1,0,0,0,0
44827,5,0,0,0,0,1,0
44828,5,0,0,0,0,1,0
44829,5,0,0,0,0,1,0
44830,5,0,0,0,0,1,0
44831,5,0,0,0,0,1,0
44832,70,0,0.99,0,0,0.07,0
44844,1,0,0,0,0,1,0
44846,1,0,0,0,0,1,0
44850,90,0,1,0,0,0,0
44851,90,0,1,0,0,0,0
44856,51,0,1,0,0,0,0
44857,51,0,1,0,0,0,0
44858,95,0,1,0,0,0,0
44859,95,0,1,0,0,0,0
44860,81,0,1,0,0,0,0
44861,81,0,1,0,0,0,0
44864,41,0,1,0,0,0,0
44865,41,0,1,0,0,0,0
44866,41,0,1,0,0,0,0
44867,41,0,1,0,0,0,0
44868,12,0,1,0,0,0,0
44869,12,0,1,0,0,0,0
44892,2,0,1,0,0,0,0
44893,2,0,1,0,0,0,0
44894,2,0,1,0,0,0,0
44895,2,0,1,0,0,0,0
44896,34,0,1,0,0,0,0
44943,7,0,0,0,1,0,0
44944,7,0,0,0,1,0,0
44945,14,0,0,0,0.86,0.14,0
44946,14,0,0,0,0.86,0.14,0
44947,7,0,0,0,1,0,0
44950,2,0,0,1,0,0,0
44951,6,0.17,0,0.33,0.83,0,0
44952,6,0.17,0,0.33,0.83,0,0
44953,44,0.02,0.95,0.05,0.11,0,0
44954,44,0.07,0.95,0.05,0.11,0,0
44955,44,0.07,0.95,0.05,0.11,0,0
44956,60,0.03,0.97,0.03,0.08,0,0
44957,25,0.08,0.64,0,0.2,0.08,0
44958,143,0,0.99,0,0.03,0.01,0
44959,159,0,1,0,0.03,0,0
44960,13,0,1,0,0.38,0,0
44964,5,0,0,0,1,0,0
44965,5,0,0,0,1,0,0
44966,5,0,0,0,1,0,0
44967,5,0,0,0,1,0,0
44968,10,0,0,0,1,0,0
44969,10,0,0,0,1,0,0
44970,5,0,0,0,1,0,0
44974,7,0,0,0,1,0,0
44975,46,0,0.85,0,0.15,0,0
44986,65,0,0.98,0.05,0.06,0.06,0
44987,65,0.09,0.98,0.05,0.06,0.06,0
44988,66,0.09,0.98,0.05,0.06,0.06,0
44989,16,0.19,0.94,0,0.25,0.25,0
44990,29,0,0.97,0.1,0.14,0.14,0
44991,83,0.07,0.99,0.04,0.05,0.05,0
44992,86,0.07,1,0.03,0.05,0.05,0
44993,4,0.75,0,0,1,1,0
44998,9,0,0.33,0,0.67,0,0
44999,9,0,0.33,0,0.67,0,0
45000,6,0,0,0,1,0,0
45003,7,0,0,1,0,0,0
45004,118,0.04,0.92,0.06,0.08,0.05,0
45005,87,0,0.85,0,0.11,0.07,0
45006,102,0,0.92,0,0.1,0.06,0
45007,102,0,0.92,0,0.1,0.06,0
45008,102,0,0.92,0,0.1,0.06,0
45009,97,0,1,0,0,0,0
45010,97,0,1,0,0,0,0
45011,97,0,1,0,0,0,0
45012,97,0,1,0,0,0,0
45014,5,0,1,0,0,0,0
45015,5,0,1,0,0,0,0
45016,52,0.06,0.94,0.08,0,0,0
45017,51,0.06,0.92,0.08,0,0,0
45018,57,0.05,0.98,0.07,0,0,0
45019,66,0.05,0.98,0.06,0,0.02,0
45020,36,0.06,0.81,0,0.17,0.11,0
45021,9,0.22,0.11,0,0.67,0.44,0
45022,7,0.29,0.14,0,0.86,0.29,0
45023,7,0.29,0.14,0,0.86,0.29,0
45024,9,0.22,0.11,0,0.67,0.44,0
45025,9,0,0.11,0,0.67,0.44,0
45026,7,0,0,0,0.86,0.14,0
45027,7,0,0,0,0.86,0.14,0
45028,48,0.04,0.88,0,0.13,0.06,0
45029,48,0.04,0.88,0,0.13,0.06,0
45030,9,0.22,0,0,0.67,0.33,0
45031,14,0,0.5,0,0.43,0.07,0
45032,14,0,0.5,0,0.43,0.07,0
45033,7,0,1,0,0,0,0
45034,7,0,1,0,0,0,0
