change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
45660,275,5,0.02
45663,275,9,0.03
45664,275,9,0.03
45665,275,4,0.01
45667,275,2,0.01
45668,275,2,0.01
45669,275,12,0.04
45670,275,12,0.04
45675,275,12,0.04
45676,275,2,0.01
45678,275,4,0.01
45679,275,4,0.01
45680,275,4,0.01
45681,275,4,0.01
45684,275,4,0.01
45685,275,4,0.01
45686,275,7,0.03
45687,275,7,0.03
45688,275,3,0.01
45689,275,3,0.01
45690,275,4,0.01
45699,275,3,0.01
45700,275,2,0.01
45704,275,2,0.01
45705,275,2,0.01
45706,275,4,0.01
45711,275,14,0.05
45741,91,2,0.02
45752,91,8,0.09
45753,91,6,0.07
45754,91,3,0.03
45755,91,6,0.07
45756,91,3,0.03
45757,91,7,0.08
45758,91,4,0.04
45768,91,1,0.01
45769,91,1,0.01
45770,91,1,0.01
45771,91,1,0.01
45772,91,1,0.01
45773,91,2,0.02
45777,91,1,0.01
45779,91,3,0.03
45780,91,5,0.05
45783,91,2,0.02
45788,91,1,0.01
45789,91,1,0.01
45791,91,3,0.03
45802,91,8,0.09
45815,153,4,0.03
45816,153,18,0.12
45817,153,18,0.12
45820,153,19,0.12
45821,153,19,0.12
45824,153,20,0.13
45825,153,20,0.13
45826,153,20,0.13
45827,153,20,0.13
45828,153,18,0.12
45829,153,18,0.12
45832,153,18,0.12
45833,153,18,0.12
45836,153,18,0.12
45837,153,18,0.12
45840,153,14,0.09
45841,153,14,0.09
45842,153,14,0.09
45843,153,14,0.09
45844,153,14,0.09
45845,153,14,0.09
45859,153,4,0.03
45860,153,4,0.03
45863,153,6,0.04
45864,153,5,0.03
45865,153,1,0.01
45869,153,2,0.01
45870,153,2,0.01
45882,153,6,0.04
45884,153,1,0.01
45885,153,12,0.08
45886,153,12,0.08
45887,153,12,0.08
45888,153,12,0.08
45889,153,11,0.07
45890,153,13,0.08
45891,153,11,0.07
45892,153,7,0.05
45893,153,10,0.07
45894,153,10,0.07
45895,153,10,0.07
45896,153,10,0.07
45897,153,10,0.07
45898,153,7,0.05
45899,153,13,0.08
45900,153,13,0.08
45901,153,10,0.07
45902,153,7,0.05
45913,153,5,0.03
45917,153,4,0.03
45918,153,2,0.01
45924,153,5,0.03
45929,153,5,0.03
45943,153,1,0.01
45945,153,1,0.01
45949,153,12,0.08
45950,153,11,0.07
45965,156,2,0.01
46006,156,1,0.01
46008,156,1,0.01
46013,156,1,0.01
46014,156,9,0.06
46015,156,6,0.04
46016,156,6,0.04
46017,156,6,0.04
46018,156,6,0.04
46019,156,6,0.04
46029,156,1,0.01
46031,156,1,0.01
46033,156,1,0.01
46034,156,9,0.06
46035,156,6,0.04
46036,156,6,0.04
46037,156,6,0.04
46038,156,6,0.04
46039,156,6,0.04
46040,156,3,0.02
46041,156,3,0.02
46044,156,2,0.01
46047,156,2,0.01
46048,156,2,0.01
46065,156,3,0.02
46066,156,5,0.03
46067,156,1,0.01
46068,156,2,0.01
46069,156,1,0.01
46070,156,1,0.01
46073,156,1,0.01
46074,156,1,0.01
46081,156,5,0.03
46082,156,6,0.04
46083,156,5,0.03
46084,156,6,0.04
46085,156,5,0.03
46086,156,5,0.03
46087,156,7,0.04
46088,156,7,0.04
46089,156,7,0.04
46090,156,5,0.03
46097,156,3,0.02
46098,156,3,0.02
46099,156,3,0.02
46100,156,3,0.02
46101,156,4,0.03
46102,156,4,0.03
46112,156,3,0.02
46130,317,11,0.03
46143,317,1,0.00
46144,317,1,0.00
46147,317,1,0.00
46156,317,7,0.02
46157,317,7,0.02
46161,317,12,0.04
46179,317,2,0.01
46180,317,2,0.01
46181,317,2,0.01
46182,317,2,0.01
46185,317,5,0.02
46186,317,5,0.02
46193,317,10,0.03
46194,317,10,0.03
46195,317,6,0.02
46196,317,6,0.02
46197,317,10,0.03
46198,317,10,0.03
46199,317,10,0.03
46200,317,6,0.02
46201,317,8,0.03
46202,317,8,0.03
46203,317,8,0.03
46207,317,3,0.01
46208,317,3,0.01
46209,317,3,0.01
46210,317,1,0.00
46221,317,9,0.03
46222,317,9,0.03
46225,317,15,0.05
46226,317,15,0.05
46227,317,3,0.01
46234,317,6,0.02
46235,317,6,0.02
46236,317,19,0.06
46238,317,4,0.01
46239,317,4,0.01
46247,317,12,0.04
46249,317,1,0.00
46250,317,1,0.00
46251,317,1,0.00
46257,317,5,0.02
46258,317,1,0.00
46259,317,5,0.02
46260,317,5,0.02
46261,317,5,0.02
46262,317,5,0.02
46263,317,14,0.04
46264,317,20,0.06
46265,317,20,0.06
46270,317,4,0.01
46276,317,2,0.01
46277,317,2,0.01
46278,317,11,0.03
46279,317,10,0.03
46280,317,12,0.04
46281,317,11,0.03
46282,317,5,0.02
46283,317,3,0.01
46284,317,2,0.01
46285,317,1,0.00
46286,317,1,0.00
46287,317,14,0.04
46288,317,14,0.04
46295,317,11,0.03
46297,317,2,0.01
46298,317,2,0.01
46299,317,2,0.01
46300,317,2,0.01
46307,317,4,0.01
46314,317,4,0.01
46315,317,4,0.01
46323,317,2,0.01
46326,317,1,0.00
46328,317,1,0.00
46340,317,16,0.05
46341,317,16,0.05
46342,317,16,0.05
46344,317,8,0.03
46345,317,8,0.03
46346,317,8,0.03
