change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
48322,85,35,0.41
48323,85,35,0.41
48324,85,35,0.41
48325,85,35,0.41
48326,85,35,0.41
48327,85,35,0.41
48328,85,35,0.41
48329,85,35,0.41
48330,85,35,0.41
48331,85,35,0.41
48332,85,38,0.45
48333,85,37,0.44
48334,85,37,0.44
48335,85,38,0.45
48336,85,35,0.41
48337,85,35,0.41
48338,85,35,0.41
48339,85,35,0.41
48340,85,38,0.45
48341,85,35,0.41
48342,85,37,0.44
48343,85,37,0.44
48344,85,35,0.41
48345,85,35,0.41
48348,85,2,0.02
48354,85,1,0.01
48355,85,1,0.01
48422,103,2,0.02
48424,103,2,0.02
48428,103,1,0.01
48429,103,4,0.04
48430,103,4,0.04
48431,103,3,0.03
48432,103,3,0.03
48433,103,3,0.03
48434,103,3,0.03
48450,103,2,0.02
48452,103,2,0.02
48459,103,1,0.01
48460,103,3,0.03
48465,103,10,0.10
48466,103,10,0.10
48467,103,10,0.10
48468,103,10,0.10
48469,103,10,0.10
48472,103,1,0.01
48474,103,1,0.01
48476,103,8,0.08
48477,103,8,0.08
48478,103,8,0.08
48479,103,9,0.09
48480,103,8,0.08
48481,103,8,0.08
48482,103,8,0.08
48485,103,12,0.12
48486,103,12,0.12
48487,103,12,0.12
48494,103,6,0.06
48498,103,6,0.06
48499,103,7,0.07
48500,103,6,0.06
48501,103,6,0.06
48502,103,2,0.02
48503,103,2,0.02
48504,103,2,0.02
48505,103,4,0.04
48506,103,6,0.06
48507,103,7,0.07
48508,103,6,0.06
48509,103,6,0.06
48513,103,6,0.06
48514,103,6,0.06
48515,103,6,0.06
48516,103,6,0.06
48517,103,6,0.06
48518,103,5,0.05
48616,10,4,0.40
48620,10,2,0.20
48621,10,2,0.20
48622,10,4,0.40
48623,10,2,0.20
48624,10,2,0.20
48625,10,4,0.40
48654,15,1,0.07
48662,15,1,0.07
48730,16,3,0.19
48731,16,3,0.19
48733,16,3,0.19
48734,16,2,0.13
48735,16,2,0.13
48739,16,1,0.06
48875,42,2,0.05
