change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
43680,12,0.25,0.00,0.33,0.83,0.00,0.00,0.00,0.00,0.00
43681,11,0.00,0.00,0.09,1.00,0.00,0.00,0.00,0.00,0.00
43684,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43685,10,0.00,0.00,0.10,1.00,0.00,0.00,0.00,0.00,0.00
43686,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43688,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43689,2,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43690,12,0.00,0.17,0.00,0.83,0.00,0.00,0.00,0.00,0.00
43691,15,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43692,15,0.00,0.00,0.27,1.00,0.00,0.00,0.00,0.00,0.00
43693,15,0.00,0.00,0.27,1.00,0.00,0.00,0.00,0.00,0.00
43694,15,0.00,0.00,0.27,1.00,0.00,0.00,0.00,0.00,0.00
43695,4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43696,7,0.57,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43697,4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50
43698,9,0.44,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.22
43700,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43701,1,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
43702,2,0.00,0.50,0.50,0.00,0.00,0.00,0.50,0.50,0.00
43703,20,0.00,0.05,0.05,0.90,0.00,0.00,0.00,0.05,0.05
43704,5,0.00,0.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00
43705,5,0.80,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.40
43706,8,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.25
43707,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43708,6,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43710,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43711,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43712,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
43714,5,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43715,3,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43716,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43731,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43733,6,0.00,0.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00
43737,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43742,3,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
43743,3,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
43744,3,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
43746,3,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
43747,3,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
43748,3,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
43749,11,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43753,4,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43756,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43757,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43774,4,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43796,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43797,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43800,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43804,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
