"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42616",,,,"42596, 42606, 42607, 42609, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,"42603, 42604",,,,,
"42617",,,,"42596, 42606, 42607, 42609, 42616, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,"42603, 42604",,,,,
"42620",,,"42653","42596, 42606, 42607, 42609, 42616, 42617, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42624",,,,,,,"42633, 42643, 42644, 42674, 42757",,,,,
"42626",,,,,,,"42733, 42747",,,,,
"42630",,,,,,,"42605, 42631, 42643, 42644, 42670",,,,,
"42631",,,,,,,"42630, 42633, 42643, 42644, 42670, 42671, 42674, 42690, 42746, 42757",,,,,
"42633",,,,,,,"42624, 42631, 42643, 42644, 42674, 42690, 42757",,,,,
"42639",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42643",,,,,,,"42624, 42630, 42631, 42633, 42652, 42670, 42671, 42674, 42690, 42745, 42746, 42757",,,,,
"42644",,,,,,,"42624, 42630, 42631, 42633, 42652, 42670, 42671, 42674, 42690, 42745, 42746, 42757",,,,,
"42652",,,,,,,"42643, 42644, 42690, 42691, 42746",,,,,
"42653",,,"42620","42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42658",,"42659, 42660","42659, 42660","42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736","42659, 42660",,,,,,,
"42659",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42660",,"42658, 42659","42658, 42659","42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736","42658, 42659",,,,,,,
"42670",,,,"42671","42671","42671","42630, 42631, 42643, 42644, 42671, 42690, 42739",,"42671",,"42671",
"42671",,,,"42670","42670","42670","42631, 42643, 42644, 42670, 42690, 42739, 42742",,"42670",,"42670",
"42674",,,,,,,"42624, 42631, 42633, 42643, 42644, 42690, 42757",,,,,
"42681",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,"42603, 42604",,,,,
"42682",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,"42603, 42604",,,,,
"42687",,,,,"42688, 42689",,"42605, 42747, 42755, 42756, 42757",,,,,
"42690",,,,,"42688, 42689",,"42631, 42633, 42643, 42644, 42652, 42670, 42671, 42674, 42746, 42757",,,,,
"42691",,,,,,,"42652",,,,,
"42692",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42702",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42708",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42712",,,,"42596, 42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
