change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
53658,18,0.44,0.72,0.28,0.33,0.5,0.06
53659,13,0.46,0.31,0.38,0.46,0.69,0.31
53660,9,0.67,0,0.56,0.67,1,0.44
53661,9,0.67,0.33,0.56,0.67,1,0.44
53662,9,0.67,0.33,0.56,0.67,1,0.44
53663,3,0,1,0,0,0,0
53664,3,0,1,0,0,0,0
53665,3,0,1,0,0,0,0
53666,4,0,1,0,0,0,0
53667,8,0,0.5,0.25,0.5,0.25,0
53668,4,0.5,0.5,0.75,1,0.5,0.5
53669,6,0,0.33,0.33,0.67,0,0
53670,4,0.5,0.5,0.75,1,0.25,0.5
53671,4,0,0,0,1,0.5,0
53672,4,0.5,0.5,0.5,1,0.75,0.5
53674,5,0,1,0,0,0,0
53679,6,0,1,0,0,0,0
53680,14,0,1,0,0,0,0
53682,2,1,0,0,0,0,0
53683,14,0.07,0.93,0,0,0,0
53684,19,0.05,0.95,0,0,0,0
53685,10,0,1,0,0,0,0
53686,10,0,1,0,0,0,0
53688,12,0,1,0,0,0,0
53689,8,0,1,0,0,0,0
